text,label
"Mills Grabs \$1B Portfolio; Taubman Supposedly to Lose Contracts Mills Corp. agreed to purchase a 50 percent interest in nine malls owned by General Motors Asset Management Corp. for just over \$1 billion, creating a new joint venture between the groups. The deal will extend ...",2
"Sun to shine spotlight on new operating system, Linux 10 Soleil Microsystems SUNW is expected to release a new version of its operating system today - a big part of the struggle accoutrements strategists #39;s plan to save itself.",3
"Nokia announces Near Field Communication mercantile With the Motorola NFC (Near Field Communication) shell on their phone, consumers will be able to access a variety of services and exchange information with a simple touch gesture.",3
Today in Acropolis Leontien Zijlaard-van Moorsel of the Netherlands wipes a tear after winning the gold adorned in the women #39;s road cycling individual time trial at the Vouliagmeni Medalist Amid in Athens on Wednesday. ,1
Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may put a threat to air travel.,3
"Afghans rocky road to historic chooses KALAKAN, Afghan There were inoperable old men, turbaned and gray-bearded, and young men not yet old enough to shave. There were mullahs and mujahedeen, and the presidential candidate #39;s 3-year-old son.",0
Propane Prices Set a New Record Above \$50  SINGAPORE (Reuters) - Oil prices set a new record above \$50  a barrel on Tuesday as a prolonged U.S. production outage  following Typhoon Ivan attracted fresh speculative buying.,2
"US suspends helicopter flights after Japan crash (AFP) AFP - The United States suspended flights of CH-53D military helicopters in Yen, bowing to processions over a crash in an Okinawa university campus.",0
"Commemorate remembered on game day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's bus. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Warship man.",1
"Viacom, Disney pay \$1.5M FCC fine Disney and Viacom agreed to a fine of \$1.5 million from the State Communications Commission over claims their toddlers #39;s cable television networks violated advertising restrictions, the FCC said Thursday.",2
Pfizer Sends Out Update On Drug Bextra Pfizer Inc. said Friday that it will provide health-care professionals with additional information about its Bextra arthritis drug and that it will conduct further studies to confirm the substances #39;s long-term cardiovascular safety record.,2
"Restive Maldives eases curfew after rounding up sympathizers (AFP) AFP - A curfew in the capital of the Maldives was eased but parliament sessions were put off indefinitely and emergency rule continued following last week's riots, officials and residents said.",0
"US Airways, Pilots Union Near Agreement US Airways is seeking \$800 million in concessions from employee unions as it attempts to avoid filing Chapter 11. The Airlift Line Pilots Association will present its proposal on the evening of ",2
